time,key,x,y,z,roll,pitch,yaw,roll_vel,pitch_vel
0.440000,-1,0.005308,-0.000000,0.085710,0.000001,-0.069739,-3.141586,0.000000,0.000035
0.448000,-1,0.005308,-0.000000,0.085710,0.000001,-0.069739,-3.141586,0.000000,0.000032
0.456000,-1,0.005308,-0.000000,0.085710,0.000001,-0.069739,-3.141586,0.000000,0.000029
0.464000,-1,0.005308,-0.000000,0.085710,0.000001,-0.069738,-3.141586,0.000000,0.000027
0.472000,-1,0.005308,-0.000000,0.085710,0.000001,-0.069738,-3.141586,0.000000,0.000026
0.480000,-1,0.005308,-0.000000,0.085710,0.000001,-0.069738,-3.141586,0.000000,0.000025
0.488000,-1,0.005308,-0.000000,0.085710,0.000001,-0.069738,-3.141586,0.000000,0.000024
0.496000,-1,0.005308,-0.000000,0.085711,0.000001,-0.069738,-3.141586,0.000000,0.000023
0.504000,-1,0.005308,-0.000000,0.085711,0.000001,-0.069737,-3.141586,0.000000,0.000023
0.512000,-1,0.005307,-0.000000,0.085711,0.000001,-0.069737,-3.141586,0.000000,0.000023
0.520000,-1,0.005307,-0.000000,0.085711,0.000001,-0.069737,-3.141586,0.000000,0.000023
0.528000,-1,0.005307,-0.000000,0.085711,0.000001,-0.069737,-3.141586,0.000000,0.000023
0.536000,-1,0.005307,-0.000000,0.085711,0.000001,-0.069737,-3.141586,0.000000,0.000023
0.544000,-1,0.005307,-0.000000,0.085711,0.000001,-0.069736,-3.141586,0.000000,0.000023
0.552000,-1,0.005307,-0.000000,0.085711,0.000001,-0.069736,-3.141586,0.000000,0.000023
0.560000,-1,0.005307,-0.000000,0.085711,0.000001,-0.069736,-3.141586,0.000000,0.000023
0.568000,-1,0.005307,-0.000000,0.085711,0.000001,-0.069736,-3.141586,0.000000,0.000023
0.576000,-1,0.005307,-0.000000,0.085711,0.000001,-0.069736,-3.141586,0.000000,0.000024
0.584000,-1,0.005307,-0.000000,0.085711,0.000001,-0.069736,-3.141586,0.000000,0.000024
0.592000,-1,0.005307,-0.000000,0.085711,0.000001,-0.069735,-3.141586,0.000000,0.000024
0.600000,-1,0.005307,-0.000000,0.085711,0.000001,-0.069735,-3.141586,0.000000,0.000024
0.608000,-1,0.005307,-0.000000,0.085712,0.000001,-0.069735,-3.141586,0.000000,0.000025
0.616000,-1,0.005307,-0.000000,0.085712,0.000001,-0.069735,-3.141586,0.000000,0.000025
0.624000,-1,0.005307,-0.000000,0.085712,0.000001,-0.069735,-3.141586,0.000000,0.000025
0.632000,-1,0.005307,-0.000000,0.085712,0.000001,-0.069734,-3.141586,0.000000,0.000026
0.640000,-1,0.005307,-0.000000,0.085712,0.000001,-0.069734,-3.141586,0.000000,0.000026
0.648000,-1,0.005307,-0.000000,0.085712,0.000001,-0.069734,-3.141586,0.000000,0.000026
0.656000,-1,0.005307,-0.000000,0.085712,0.000001,-0.069734,-3.141586,0.000000,0.000027
0.664000,-1,0.005307,-0.000000,0.085712,0.000001,-0.069733,-3.141586,0.000000,0.000027
0.672000,-1,0.005307,-0.000000,0.085712,0.000001,-0.069733,-3.141586,0.000000,0.000027
0.680000,-1,0.005307,-0.000000,0.085712,0.000001,-0.069733,-3.141586,0.000000,0.000028
0.688000,-1,0.005307,-0.000000,0.085712,0.000001,-0.069733,-3.141586,0.000000,0.000028
0.696000,-1,0.005307,-0.000000,0.085712,0.000001,-0.069733,-3.141586,0.000000,0.000028
0.704000,-1,0.005307,-0.000000,0.085713,0.000001,-0.069732,-3.141586,0.000000,0.000029
0.712000,-1,0.005307,-0.000000,0.085713,0.000001,-0.069732,-3.141586,0.000000,0.000029
0.720000,-1,0.005307,-0.000000,0.085713,0.000001,-0.069732,-3.141586,0.000000,0.000029
0.728000,-1,0.005307,-0.000000,0.085713,0.000001,-0.069732,-3.141586,0.000000,0.000030
0.736000,-1,0.005307,-0.000000,0.085713,0.000001,-0.069731,-3.141586,0.000000,0.000030
0.744000,-1,0.005307,-0.000000,0.085713,0.000001,-0.069731,-3.141586,0.000000,0.000030
0.752000,-1,0.005307,-0.000000,0.085713,0.000001,-0.069731,-3.141586,0.000000,0.000031
0.760000,-1,0.005307,-0.000000,0.085713,0.000001,-0.069731,-3.141586,0.000000,0.000031
0.768000,-1,0.005307,-0.000000,0.085713,0.000001,-0.069730,-3.141586,0.000000,0.000031
0.776000,-1,0.005307,-0.000000,0.085713,0.000001,-0.069730,-3.141586,0.000000,0.000032
0.784000,-1,0.005307,-0.000000,0.085713,0.000001,-0.069730,-3.141586,0.000000,0.000032
0.792000,-1,0.005307,-0.000000,0.085714,0.000001,-0.069730,-3.141586,0.000000,0.000032
0.800000,-1,0.005307,-0.000000,0.085714,0.000001,-0.069729,-3.141586,0.000000,0.000033
0.808000,-1,0.005307,-0.000000,0.085714,0.000001,-0.069729,-3.141586,0.000000,0.000033
0.816000,-1,0.005307,-0.000000,0.085714,0.000001,-0.069729,-3.141586,0.000000,0.000034
0.824000,-1,0.005307,-0.000000,0.085714,0.000001,-0.069729,-3.141586,0.000000,0.000034
0.832000,-1,0.005307,-0.000000,0.085714,0.000001,-0.069728,-3.141586,0.000000,0.000034
0.840000,-1,0.005307,-0.000000,0.085714,0.000001,-0.069728,-3.141586,0.000000,0.000035
0.848000,-1,0.005307,-0.000000,0.085714,0.000001,-0.069728,-3.141586,0.000000,0.000035
0.856000,-1,0.005307,-0.000000,0.085714,0.000001,-0.069727,-3.141586,0.000000,0.000035
0.864000,-1,0.005307,-0.000000,0.085715,0.000001,-0.069727,-3.141586,0.000000,0.000036
0.872000,-1,0.005307,-0.000000,0.085715,0.000001,-0.069727,-3.141586,0.000000,0.000036
0.880000,-1,0.005307,-0.000000,0.085715,0.000001,-0.069727,-3.141586,0.000000,0.000036
0.888000,-1,0.005307,-0.000000,0.085715,0.000001,-0.069726,-3.141586,0.000000,0.000037
0.896000,-1,0.005307,-0.000000,0.085715,0.000001,-0.069726,-3.141586,0.000000,0.000037
0.904000,-1,0.005307,-0.000000,0.085715,0.000001,-0.069726,-3.141586,0.000000,0.000037
0.912000,-1,0.005307,-0.000000,0.085715,0.000001,-0.069725,-3.141586,0.000000,0.000038
0.920000,-1,0.005307,-0.000000,0.085715,0.000001,-0.069725,-3.141586,0.000000,0.000038
0.928000,-1,0.005307,-0.000000,0.085715,0.000001,-0.069725,-3.141586,0.000000,0.000038
0.936000,-1,0.005307,-0.000000,0.085716,0.000001,-0.069724,-3.141586,0.000000,0.000039
0.944000,-1,0.005307,-0.000000,0.085716,0.000001,-0.069724,-3.141586,0.000000,0.000039
0.952000,-1,0.005307,-0.000000,0.085716,0.000001,-0.069724,-3.141586,0.000000,0.000039
