0.000000,0.000000,0.099372,0.000000,-0.000000,3.141591
-0.000000,0.000000,0.098120,0.000000,0.000000,3.141591
-0.000000,0.000000,0.096247,0.000000,0.000000,3.141591
-0.000000,0.000000,0.093756,0.000001,0.000000,3.141590
-0.000000,0.000000,0.090652,0.000002,0.000000,3.141590
-0.000000,0.000000,0.086937,0.000003,0.000000,3.141589
0.002453,0.000000,0.086798,0.000004,-0.034443,3.141589
0.004943,0.000000,0.085973,-0.000008,-0.068608,3.141578
0.007485,0.000000,0.084480,-0.000022,-0.102587,3.141572
0.006002,0.000001,0.084473,-0.000018,-0.081136,3.141571
0.005568,0.000001,0.085505,-0.000019,-0.074435,3.141571
0.005133,0.000001,0.085895,-0.000026,-0.067725,3.141563
0.004703,0.000001,0.085654,-0.000033,-0.061051,3.141554
0.004865,0.000004,0.085815,0.000012,-0.063512,3.141547
0.005172,0.000004,0.085598,0.000010,-0.068129,3.141547
0.005708,0.000003,0.085155,0.000008,-0.076242,3.141547
0.005476,0.000003,0.085394,0.000007,-0.072749,3.141547
0.005434,0.000003,0.085461,0.000006,-0.072102,3.141547
0.005403,0.000003,0.085511,0.000005,-0.071627,3.141547
0.005378,0.000003,0.085551,0.000004,-0.071248,3.141547
0.005358,0.000003,0.085583,0.000003,-0.070946,3.141547
0.005342,0.000003,0.085608,0.000003,-0.070704,3.141547
0.005329,0.000003,0.085628,0.000003,-0.070511,3.141547
0.005319,0.000003,0.085645,0.000002,-0.070356,3.141547
0.005311,0.000003,0.085657,0.000002,-0.070233,3.141547
0.005304,0.000003,0.085668,0.000002,-0.070134,3.141547
0.005299,0.000003,0.085676,0.000002,-0.070055,3.141547
0.005295,0.000003,0.085683,0.000002,-0.069992,3.141547
0.005292,0.000003,0.085688,0.000002,-0.069942,3.141547
0.005289,0.000003,0.085692,0.000001,-0.069901,3.141547
0.005287,0.000003,0.085696,0.000001,-0.069869,3.141547
0.005285,0.000003,0.085698,0.000001,-0.069843,3.141547
0.005284,0.000003,0.085701,0.000001,-0.069823,3.141547
0.005283,0.000003,0.085702,0.000001,-0.069806,3.141547
0.005282,0.000003,0.085704,0.000001,-0.069793,3.141547
0.005281,0.000003,0.085705,0.000001,-0.069782,3.141547
0.005281,0.000003,0.085706,0.000001,-0.069774,3.141547
0.005280,0.000003,0.085707,0.000001,-0.069767,3.141547
0.005280,0.000003,0.085707,0.000001,-0.069762,3.141547
0.005280,0.000003,0.085708,0.000001,-0.069757,3.141547
0.005279,0.000003,0.085708,0.000001,-0.069754,3.141547
0.005279,0.000003,0.085708,0.000001,-0.069751,3.141547
0.005279,0.000003,0.085709,0.000001,-0.069749,3.141547
0.005279,0.000003,0.085709,0.000001,-0.069747,3.141547
0.005279,0.000003,0.085709,0.000001,-0.069745,3.141547
0.005279,0.000003,0.085709,0.000001,-0.069744,3.141547
0.005279,0.000003,0.085709,0.000001,-0.069743,3.141547
0.005279,0.000003,0.085709,0.000001,-0.069742,3.141547
0.005279,0.000003,0.085710,0.000001,-0.069742,3.141547
0.005279,0.000003,0.085710,0.000001,-0.069741,3.141547
0.005279,0.000003,0.085710,0.000001,-0.069740,3.141547
0.005279,0.000003,0.085710,0.000001,-0.069740,3.141547
